dateTime,download,upload,device
Thu 17 Dec 14:00:01  2020,2.18,17.84,cowpi-0abe
Thu 17 Dec 14:30:01  2020,59,17.15,cowpi-0abe
Thu 17 Dec 15:00:01  2020,1.2,2.67,cowpi-0abe
Thu 17 Dec 15:30:01  2020,77.69,28.45,cowpi-0abe
Thu 17 Dec 16:00:01  2020,36.2,23.75,cowpi-0abe
Thu 17 Dec 16:30:01  2020,25.81,22.14,cowpi-0abe
Thu 17 Dec 17:00:01  2020,32.64,19.5,cowpi-0abe
Thu 17 Dec 17:30:01  2020,58.2,22.49,cowpi-0abe
Thu 17 Dec 18:00:01  2020,87.05,25.28,cowpi-0abe
Thu 17 Dec 18:30:01  2020,,,cowpi-0abe
Thu 17 Dec 19:00:01  2020,,,cowpi-0abe
Thu 17 Dec 19:30:01  2020,,,cowpi-0abe
Thu 17 Dec 20:00:01  2020,,,cowpi-0abe
Thu 17 Dec 20:30:01  2020,,,cowpi-0abe
Thu 17 Dec 21:00:01  2020,,,cowpi-0abe
Thu 17 Dec 21:30:01  2020,,,cowpi-0abe
Thu 17 Dec 22:00:01  2020,,,cowpi-0abe
Thu 17 Dec 22:30:01  2020,,,cowpi-0abe
